[INFO ] [2021-06-30 23:07:26,570] Register - Step 1: Click on Register link
[INFO ] [2021-06-30 23:07:29,367] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-06-30 23:07:30,079] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-06-30 23:07:30,505] Register - Step 4: Input to email with value: test43493@mailnesia.com
[INFO ] [2021-06-30 23:07:30,987] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-06-30 23:07:31,255] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-06-30 23:07:31,518] Register - Step 7: Click on Register button
[INFO ] [2021-06-30 23:07:34,617] Register - Step 8: Verify success message display
[INFO ] [2021-06-30 23:07:34,736] Register - Step 7: Click on logout link
[INFO ] [2021-07-25 21:57:41,043] Register - Step 1: Click on Register link
[INFO ] [2021-07-25 21:57:44,081] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-25 21:57:44,205] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-25 21:57:44,330] Register - Step 4: Input to email with value: test31103@mailnesia.com
[INFO ] [2021-07-25 21:57:44,472] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-25 21:57:44,579] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-25 21:57:44,682] Register - Step 7: Click on Register button
[INFO ] [2021-07-25 21:57:47,724] Register - Step 8: Verify success message display
[INFO ] [2021-07-25 21:57:47,761] Register - Step 7: Click on logout link
[INFO ] [2021-07-26 21:03:47,308] Register - Step 1: Click on Register link
[INFO ] [2021-07-26 21:03:50,268] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-26 21:03:50,396] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-26 21:03:50,520] Register - Step 4: Input to email with value: test96629@mailnesia.com
[INFO ] [2021-07-26 21:03:50,632] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-26 21:03:50,763] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-26 21:03:50,874] Register - Step 7: Click on Register button
[INFO ] [2021-07-26 21:03:53,726] Register - Step 8: Verify success message display
[INFO ] [2021-07-26 21:03:53,770] Register - Step 7: Click on logout link
[INFO ] [2021-07-27 21:44:20,815] Register - Step 1: Click on Register link
[INFO ] [2021-07-27 21:44:21,571] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-27 21:44:21,699] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-27 21:44:21,830] Register - Step 4: Input to email with value: test18400@mailnesia.com
[INFO ] [2021-07-27 21:44:21,951] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-27 21:44:22,068] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-27 21:44:22,175] Register - Step 7: Click on Register button
[INFO ] [2021-07-27 21:44:24,390] Register - Step 8: Verify success message display
[INFO ] [2021-07-27 21:44:24,440] Register - Step 7: Click on logout link
[INFO ] [2021-07-27 23:17:24,629] Register - Step 1: Click on Register link
[INFO ] [2021-07-27 23:17:27,354] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-27 23:17:27,481] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-27 23:17:27,596] Register - Step 4: Input to email with value: test4281@mailnesia.com
[INFO ] [2021-07-27 23:17:27,745] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-27 23:17:27,861] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-27 23:17:27,968] Register - Step 7: Click on Register button
[INFO ] [2021-07-27 23:17:30,901] Register - Step 8: Verify success message display
[INFO ] [2021-07-27 23:17:30,947] Register - Step 7: Click on logout link
[INFO ] [2021-07-28 23:20:14,648] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:20:16,654] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-28 23:20:16,773] Register - Step 3: Input to last name with value: last name
[INFO ] [2021-07-28 23:20:16,877] Register - Step 4: Input to email with value: test74353@mailnesia.com
[INFO ] [2021-07-28 23:20:16,987] Register - Step 5: Input to passWord with value: test1234
[INFO ] [2021-07-28 23:20:17,107] Register - Step 6: Input to comfirm passWord with value: test1234
[INFO ] [2021-07-28 23:20:17,214] Register - Step 7: Click on Register button
[INFO ] [2021-07-28 23:20:19,765] Register - Step 8: Verify success message display
[INFO ] [2021-07-28 23:20:19,806] Register - Step 7: Click on logout link
[INFO ] [2021-07-28 23:25:40,324] Register - Step 1: Click on Register link
[INFO ] [2021-07-28 23:25:41,735] Register - Step 2: Input to first name with value: first name
[INFO ] [2021-07-28 23:25:41,852] Register - Step 3: Input to last name with value: last name
